cnpj,input_company,setor,subsetor,segmento,cnae_primario,cnae_descricao,cnae_secundarios,source,confidence,cnae_secundarios_norm,cnae_secundarios_descricao,cnae_secundarios_pairs,cnae7,setor_progest,subsetor_progest,segmento_progest
00416968000101,BANCO INTER S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6422,6422100,"Bancos múltiplos, com carteira comercial",,RFB_estab,0.6,,,,6422100,Serviços Financeiros,Bancos,Bancos Comerciais
00622416000141,STATKRAFT ENERGIAS RENOVAVEIS S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"8111700,8299799",RFB_estab,0.9,8111700 | 8299799,"Serviços combinados para apoio a edifícios, exceto condomínios prediais | Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","8111700 — Serviços combinados para apoio a edifícios, exceto condomínios prediais | 8299799 — Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
00743065000127,LITEL PARTICIPACOES S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
00776574000156,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,G — COMÉRCIO; REPARAÇÃO DE VEÍCULOS,Divisão 47,Classe 4711,4711302,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados","4712100,4713004,4729699,4752100,4761001,4771704,4772500,4773300,4789004,4789099,5250805,5911101,6022501,6190699,6311900,6319400,6619302,7312200,7490104",RFB_estab,0.9,4712100 | 4713004 | 4729699 | 4752100 | 4761001 | 4771704 | 4772500 | 4773300 | 4789004 | 4789099 | 5250805 | 5911101 | 6022501 | 6190699 | 6311900 | 6319400 | 6619302 | 7312200 | 7490104,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns | Lojas de departamentos ou magazines, exceto lojas francas (Duty free) | Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente | Comércio varejista especializado de equipamentos de telefonia e comunicação | Comércio varejista de livros | Comércio varejista de medicamentos veterinários | Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal | Comércio varejista de artigos médicos e ortopédicos | Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação | Comércio varejista de outros produtos não especificados anteriormente | Operador de transporte multimodal - OTM | Estúdios cinematográficos | Programadoras | Outras atividades de telecomunicações não especificadas anteriormente | Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet | Portais, provedores de conteúdo e outros serviços de informação na Internet | Correspondentes de instituições financeiras | Agenciamento de espaços para publicidade, exceto em veículos de comunicação | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","4712100 — Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns | 4713004 — Lojas de departamentos ou magazines, exceto lojas francas (Duty free) | 4729699 — Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente | 4752100 — Comércio varejista especializado de equipamentos de telefonia e comunicação | 4761001 — Comércio varejista de livros | 4771704 — Comércio varejista de medicamentos veterinários | 4772500 — Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal | 4773300 — Comércio varejista de artigos médicos e ortopédicos | 4789004 — Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação | 4789099 — Comércio varejista de outros produtos não especificados anteriormente | 5250805 — Operador de transporte multimodal - OTM | 5911101 — Estúdios cinematográficos | 6022501 — Programadoras | 6190699 — Outras atividades de telecomunicações não especificadas anteriormente | 6311900 — Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet | 6319400 — Portais, provedores de conteúdo e outros serviços de informação na Internet | 6619302 — Correspondentes de instituições financeiras | 7312200 — Agenciamento de espaços para publicidade, exceto em veículos de comunicação | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",4711302,Comércio,Comércio,Atividade Principal
00864214000106,ENERGISA S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,8211300,RFB_estab,0.9,8211300,Serviços combinados de escritório e apoio administrativo,8211300 — Serviços combinados de escritório e apoio administrativo,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
00873894000124,LETS RENT A CAR S/A,"H — TRANSPORTE, ARMAZENAGEM E CORREIO",Divisão 49,Classe 4923,4923002,Serviço de transporte de passageiros - locação de automóveis com motorista,"7711000,7719599,7820500,8211300,8299799",RFB_estab,0.9,7711000 | 7719599 | 7820500 | 8211300 | 8299799,"Locação de automóveis sem condutor | Locação de outros meios de transporte não especificados anteriormente, sem condutor | Locação de mão de obra temporária | Serviços combinados de escritório e apoio administrativo | Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","7711000 — Locação de automóveis sem condutor | 7719599 — Locação de outros meios de transporte não especificados anteriormente, sem condutor | 7820500 — Locação de mão de obra temporária | 8211300 — Serviços combinados de escritório e apoio administrativo | 8299799 — Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente",4923002,Logística & Transporte,Logística,Atividade Principal
00924429000175,FERROVIA CENTRO-ATLANTICA S.A.,"H — TRANSPORTE, ARMAZENAGEM E CORREIO",Divisão 49,Classe 4911,4911600,Transporte ferroviário de carga,4211101,RFB_estab,0.9,4211101,Construção de rodovias e ferrovias,4211101 — Construção de rodovias e ferrovias,4911600,Logística & Transporte,Logística,Atividade Principal
00994533000136,COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO,G — COMÉRCIO; REPARAÇÃO DE VEÍCULOS,Divisão 46,Classe 4689,4689399,Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,"4649499,4669999",RFB_estab,0.9,4649499 | 4669999,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente | Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,4649499 — Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente | 4669999 — Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,4689399,Comércio,Comércio,Atividade Principal
01027058000191,CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 66,Classe 6613,6613400,Administração de cartões de crédito,"6399200,6619305,6619399,7410299,7490105,7490199,8219999,8299702,8299703,8299707,8299799",RFB_estab,0.9,6399200 | 6619305 | 6619399 | 7410299 | 7490105 | 7490199 | 8219999 | 8299702 | 8299703 | 8299707 | 8299799,"Outras atividades de prestação de serviços de informação não especificadas anteriormente | Operadoras de cartões de débito | Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente | Atividades de desing não especificadas anteriormente | Agenciamento de profissionais para atividades esportivas, culturais e artísticas | Outras atividades profissionais, científicas e técnicas não especificadas anteriormente | Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente | Emissão de vales-alimentação, vales-transporte e similares | Serviços de gravação de carimbos, exceto confecção | Salas de acesso à Internet | Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","6399200 — Outras atividades de prestação de serviços de informação não especificadas anteriormente | 6619305 — Operadoras de cartões de débito | 6619399 — Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente | 7410299 — Atividades de desing não especificadas anteriormente | 7490105 — Agenciamento de profissionais para atividades esportivas, culturais e artísticas | 7490199 — Outras atividades profissionais, científicas e técnicas não especificadas anteriormente | 8219999 — Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente | 8299702 — Emissão de vales-alimentação, vales-transporte e similares | 8299703 — Serviços de gravação de carimbos, exceto confecção | 8299707 — Salas de acesso à Internet | 8299799 — Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente",6613400,Serviços Financeiros,Serviços Financeiros Diversos,Outros Serviços Financeiros
01083200000118,NEOENERGIA S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"3513100,7490104",RFB_estab,0.9,3513100 | 7490104,"Comércio atacadista de energia elétrica | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","3513100 — Comércio atacadista de energia elétrica | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
